publisher,city,country
Nutting Associates,"Mountain View, California",United States
Ocean Software,Manchester,United Kingdom
Ocean State Publishing,"Woonsocket, Rhode Island",United States
Oculus Studios,"Irvine, California",United States
Odin Computer Graphics,"Liverpool, England",United Kingdom
Ongakukan,Kawasaki City,Japan
Opera Soft,,Spain
Origin Systems,"Austin, Texas",United States
Orion Interactive,,United States
Out of the Park Developments,Hollern-Twielenfleth,Germany
Overflow,Tokyo,Japan
OziSoft,Sydney,Australia
Pacific Novelty,,United States
Pack-In-Video,,Japan
Palace Software,"London, England",United Kingdom
Palette,Tokyo,Japan
Panasonic,Osaka,Japan
Panda Entertainment,,Taiwan
Panesian Taiwan,,Taiwan
Panther Games,Canberra,Australia
Paradox Interactive,Stockholm,Sweden
Paragon Software,"Greensburg, Pennsylvania",United States
Parker Brothers,"Beverly, Massachusetts",United States
Penguin Software,"Geneva, Illinois",United States
Pentavision,,South Korea
Perfect World,Beijing,China
Personal Software Services,Coventry,United Kingdom
Petit Ferret,,Japan
Petroglyph Games,"Las Vegas, Nevada",United States
PF.Magic,"San Francisco, California",United States
Phantagram,,South Korea
Philips,Amsterdam,Netherlands
Piranha Bytes,Essen,Germany
Piranha Interactive Publishing,"Tempe, Arizona",United States
Piranha Software,"London, England",United Kingdom
PikPok,Wellington,New Zealand
PlayFirst,"San Francisco, California",United States
"Playlogic Entertainment, Inc.",The Netherlands,Amsterdam
Playmates Toys,"Costa Mesa, California",United States
Plug In Digital,Montpellier,France
The Pokémon Company,Tokyo,Japan
Polyhedra Games,"Brooklyn, New York",United States
Pony Canyon,Tokyo,Japan
PopCap Games,"Seattle, Washington",United States
Portkey Games,England,United Kingdom
Positech Games,,United Kingdom
Presto Studios,"Encinitas, California",United States
PrincessSoft,,Japan
Prism Leisure Corporation,"Enfield, Middlesex, England",United Kingdom
Private Division,"New York City, New York",United States
Probe Software,"Croydon, England",United Kingdom
Programma International,"Los Angeles, California",United States
Prototype,Tokyo,Japan
Psygnosis,"Liverpool, England",United Kingdom
Psikyo,Kyoto,Japan
Psytronik Software,,United Kingdom
Pulltop,,Japan
Purple Moon,"Mountain View, California",United States
Quality Software,"Chatsworth, California",United States
Quantum Quality Productions,"Flemington, New Jersey",United States
Quest Corporation,Tokyo,Japan
Quicksilva,,United Kingdom
QuinRose,,Japan
Quintet,Tokyo,Japan
Q Entertainment,Tokyo,Japan
R2Games,Hong Kong,China
Rabbit Software,"London, England",United Kingdom
Radica Games,,United States
Rage Software,"Liverpool, England",United Kingdom
Rainbird Software,"London, England",United Kingdom
Rainbow Arts,Gütersloh,Germany
Random House,New York City,United States
Rare,"Twycross, England",United Kingdom
Ravensburger Interactive,Ravensburg,Germany
Raw Fury,Stockholm,Sweden
Raw Thrills,"Skokie, Illinois",United States
Red Ant Enterprises,,Australia
Red Entertainment,Tokyo,Japan
RedOctane,"Mountain View, California",United States
Red Orb Entertainment,"Novato, California",United States
Red Rat Software,"Manchester, England",United Kingdom
Red Shift,London,England
Red Storm Entertainment,"Cary, North Carolina",United States
Regista,,Japan
reLINE Software,Hanover,Germany
Renegade Software,"Wapping, London, England",United Kingdom
Renovation Products,,United States
Richard Shepherd Software,"Slough, Berkshire, England",United Kingdom
Right Stuff,Tokyo,Japan
Riot Games,Santa Monica,United States
Ripcord Games,"Santa Clara, California",United States
Rising Star Games,"Hitchin, England",United Kingdom
Riverhillsoft,,Japan
Rock-Ola,"Chicago, Illinois",United States
Rockstar Games,"New York, New York",United States
Romstar,"Torrance, California",United States
Romtech,"Langhorne, Pennsylvania",United States
Rovio Entertainment,Espoo,Finland
RTL Group,Kirchberg,Luxembourg
Saga Planets,Osaka,Japan
Sammy Studios,Minato,Japan
Samsung,Seoul,South Korea
Sanctuary Woods,"Victoria, British Columbia",Canada
"Scavenger, Inc.","Los Angeles, California",United States
Scopely,"Culver City, California",United States
SCi Games,"London, England",United Kingdom
SCS Software,Prague,Czech Republic
Scholastic,"Wilkinsburg, Pennsylvania",United States
Sears,"Chicago, Illinois",United States
Sega,Tokyo,Japan
Seibu Kaihatsu,Tokyo,Japan
Serenity Forge,"Boulder, Colorado",United States
SETA Corporation,Tokyo,Japan
Seven45 Studios,"Seattle, Washington",United States
SFB Games,"London, England",United Kingdom
Shanda,Shanghai,China
Sharp Corporation,Sakai,Japan
Shengqu Games,Shanghai,China
Sherston Software,"Sherston, Wiltshire",United Kingdom
Shoeisha,Tokyo,Japan
Shogakukan,Tokyo,Japan
Sierra Entertainment,California,United States
Silicon Beach Software,"San Diego, California",United States
Silmarils,"Lognes, Paris",France
Simon & Schuster Interactive,New York City,United States
"SIMS Co., Ltd.",Tokyo,Japan
Simulations Canada,,Canada
Sinclair Research Ltd.,"London, England",United Kingdom
Sirius Software,"Sacramento, California",United States
Sir-Tech,New York City,United States
Skybound Entertainment,"Beverly Hills, California",United States
Slitherine,"Epsom, Surrey",United Kingdom
SNK,Osaka,Japan
Soedesco,Rotterdam,The Netherlands
SOFEL,Tokyo,Japan
Soft-World,Taipei,Taiwan
Softape,,United States
Softdisk,"Shreveport, Louisiana",United States
SoftKey,,United States
Softek International Ltd,"London, England",United Kingdom
SoftSide,,United States
Softstar,Taipei,Taiwan
Software 2000,Eutin,Germany
The Software Exchange,"Milford, New Hampshire",United States
Software Projects,"Liverpool, England",United Kingdom
Sony Imagesoft,"Los Angeles, California",United States
Sony Interactive Entertainment,"San Mateo, California",United States
Sony Pictures Digital,California,United States
SouthPeak Games,Virginia,United States
Spectral Associates,"Tacoma, Washington",United States
Spectravideo,,United States
Spectrum HoloByte,"Alameda, California",United States
Spike,Tokyo,Japan
Spike Chunsoft,Tokyo,Japan
Spil Games,Hilversum,The Netherlands
Spinnaker Software,"Cambridge, Massachusetts",United States
Square,Tokyo,Japan
Square Electronic Arts,"Costa Mesa, California",United States
Square Enix,Tokyo,Japan
Stardock,"Livonia, Michigan",United States
Starpath,"Livermore, California",United States
Starwave,"Bellevue, Washington",United States
Stern Electronics,"Chicago, Illinois",United States
StickyLock,Amsterdam,Netherlands
Sting Entertainment,Tokyo,Japan
Storm Impact,"Glenview, Illinois",United States
Storm8,"Redwood Shores, California",United
Strategic Simulations (SSI),"Sunnyvale, California",United States
Strategic Studies Group,,Australia
Strat-O-Matic,"Glen Head, New York",United States
Stormfront Studios,"San Rafael, California",United States
Strategy First,"Montreal, Quebec",Canada
Studio e.go!,Osaka,Japan
Sublogic,"Urbana-Champaign, Illinois",United States
Success,Tokyo,Japan
Sunflowers Interactive Entertainment Software,Heusenstamm,Germany
Sunrise Interactive,,Japan
Sunsoft,Aichi,Japan
Superior Software,"Leeds, England",United Kingdom
Supersoft,"Harrow, London",United Kingdom
Sydney Development Corporation,"Vancouver, British Columbia",Canada
Super Fighter Team,"San Diego, California",United States
Suzy Soft,Zagreb,Croatia
Synapse Software,Richmond,California
Synergistic Software,"Seattle, Washington",United States
SystemSoft,,Japan
System 3,"London, England",United Kingdom
System Sacom,Tokyo,Japan
Tactics,,Japan
Taito,Tokyo,Japan
Takara,,Japan
Take-Two Interactive,"New York, New York",United States
TalonSoft,"Baltimore, Maryland",United States
Tamsoft,Tokyo,Japan
Tandy Corporation,"Fort Worth, Texas",United States
Taxan,,Japan
